topic,FREX,DS_RESUMO,document
1,"osseo, massa_ossea, pth, dmo, ossea, ingestao_calcio, densidade_mineral_ossea, femur, saude_ossea, coluna",expansao massa_ossea acumulo diario calcio osseo variam conforme estagio puberal sendo maiores estagios puberais iii iv nesses periodos retencao diaria calcio osseo atinge maximo correspondendo 290 360mg dia meninos ingestao_calcio superior 1000mg dia pouco sabe sobre retencao diaria calcio osseo meninos baixa ingestao_calcio objetivo desse estudo avaliar retencao diaria calcio ossos meninos pre puberes puberes fisicamente ativos baixa ingestao_calcio participaram estudo 27 meninos estagios puberais i 8 5 + 0 6 anos n=9 ii 10 8 + 0 7 anos n=9 iii 13 0 + 1 0 anos n=9 coletas amostras sangue avaliacoes massa_ossea composicao_corporal utilizando dxa realizadas inicio estudo apos 6 meses dados ingestao_alimentar obtidos atraves 3 recordatorios 24h analises pth i 25 oh d igf i soro determinadas imunoensaio quimioluminescente retencao diaria calcio osseo estimada assumindo calcio representa 32 2 cmo corpo inteiro considerando diferenca conteudo calcio osseo duas avaliacoes dividido intervalo dias avaliacoes valores z score dmo corpo inteiro femur proximal total adequados duas avaliacoes ingestao_calcio semelhante grupos 684+ 265mg d 618+ 406mg d 597+ 332mg d estagios i ii iii respectivamente representou 55 atuais recomendacoes dieteticas calcio retencao diaria calcio osseo menor p <0 05 meninos estagio i 110 + 38mg dia comparado ii 189 + 64 mg dia iii 225 + 102 mg dia 75 meninos apresentaram 25 oh d inferior 50nmol l n=6 n=8 n=7 estagios i ii iii respectivamente primeira avaliacao 25 oh d correlacionou positivamente dmo cmo corpo inteiro femur duas avaliacoes igf 1 maior estagio iii comparado ii 288+ 135 vs 193+ 79 ng ml p<0 05 grupo todo igf i correlacionou positivamente area ossea corpo inteiro femur r>0 49 p<0 05 duas avaliacoes unica variavel bioquimica associar positivamente retencao calcio diaria r=0 40 p=0 04 apesar baixa ingestao_calcio estado insuficiente vitamina_d meninos apresentaram adequada massa_ossea idade retencao diaria calcio observada similar meninos habituados elevada ingestao_calcio exceto meninos estagio iii somente nesses meninos ingestao_calcio associada retencao diaria calcio r=0 80 p<0 01 sugerindo estagio iii demanda calcio mineralizacao ossea elevada baixa ingestao_calcio aliada estado insuficiente vitamina_d parece ser ter sido capaz limitar aquisicao ossea menos diminuir velocidade acumulo massa_ossea,388
1,"osseo, massa_ossea, pth, dmo, ossea, ingestao_calcio, densidade_mineral_ossea, femur, saude_ossea, coluna",background constipation is highly prevalent among patients undergoing hemodialysis hd alternatives the treatment of this gastrointestinal disorder have been poorly investigated therefore we aimed to evaluate the effects of olive oil and flaxseed oil compared with mineral oil the treatment of constipation in patients undergoing hd methods 4 week double blind randomized controlled trial was conducted fifty constipated patients diagnosed by the rome iii criteria were randomly assigned to receive mineral oil n=17 olive oil n=16 or flaxseed oil n=17 the initial oil dose was 4 ml day and was adjusted needed the impact of the intervention was assessed by the rome iii criteria scores results the most frequent symptoms of constipation at baseline were comparable among the groups and included incomplete evacuation 92 lumpy or hard stools 72 and anorectal obstruction 70 the rome iii score improved significantly in patients receiving mineral oil 10 5+ 5 0 to 4 1+ 4 0 p<0 01 olive oil 10 3+ 4 2 to 3 2+ 3 8 p=0 01 and flaxseed oil 9 6+ 4 2 to 6 0+ 5 1 p<0 01 with significant group by time interaction p=0 15 except manual maneuvers the score all other symptoms was reduced similarly in the mineral oil and olive oil groups whereas only the frequency of evacuation and lumpy or hard stools improved in the flaxseed oil group conclusion we demonstrated that the daily use of olive oil or flaxseed oil was effective the treatment of constipation in patients undergoing hd the effect observed was similar to that obtained with mineral oil,987
1,"osseo, massa_ossea, pth, dmo, ossea, ingestao_calcio, densidade_mineral_ossea, femur, saude_ossea, coluna",estudos recentes sugerido massa_gorda exerce efeito protetor sobre massa_ossea populacoes heterogeneas entanto pouco sabe sobre efeito individuos obesos morbidos alguns mecanismos propostos explicar potencial efeito negativo massa_gorda sobre massa_ossea sustentam hipotese individuos obesos morbidos possam constituir grupo particularmente susceptivel perda ossea informacoes nesse grupo entanto escassas parte devido limitacoes metodologicas primeira geracao densitometros absorciometria dupla emissao raios_x dxa avaliacao massa_ossea destes individuos neste estudo utilizamos equipamento dxa recente capaz avaliar maior area massa_corporal total permitindo avaliacao adequada objetivo deste estudo avaliar saude_ossea individuos obesos morbidos subdivididos funcao sexo periodo fisiologico tres grupos homens mulheres menacme mulheres pos menopausa participaram estudo 72 individuos obesos morbidos imc>40 kg cm2 divididos tres grupos mulheres menacme n=37 mulheres pos menopausa n=22 homens n=13 composicao_corporal area conteudo cmo densidade dmo mineral ossea total sitios especificos coluna lombar femur proximal antebraco avaliados dxa lunar idxa realizadas medidas_antropometricas exames_bioquimicos metabolismo osseo comparacao grupos realizada analise variancia anova seguida pos teste fischer lsd associacoes variaveis estudadas avaliadas correlacao_pearson correlacao parcial utilizado nivel significancia 95 participantes estudo apresentaram media valores t z score adequados todos sitios estudados tal populacao geral homens apresentaram maior cmo maior area ossea p<0 001 mulheres menacme pos menopausa todos sitios avaliados entanto homens apresentaram menor z score coluna lombar femur total antebraco p<0 05 diferente esperado observamos diferenca significativa mulheres menacme mulheres pos menopausa nenhum parametro osseo avaliado media concentracoes 25 hidoxivitaminad 25 oh d paratormonio pth osteocalcina telopeptideo carboxiterminal colageno tipo i ctx adequadas diferenca grupos estudados considerando 3 grupos conjunto varios parametros osseos apresentaram correlacao positiva r>0 30 p<0 05 gordura_corporal_total apos ajuste massa_corporal total correlacao parcial gordura_corporal_total kg passou apresentar correlacao negativa area ossea corpo total p<0 001 r= 0 51 coluna lombar p<0 01 r= 0 40 femur total p<0 001 r= 0 57 cmo total p<0 001 r= 0 51 femur total p<0 001 r= 0 47 grupos avaliados separadamente apenas mulheres pos menopausa observadas associacoes negativas massa_gorda kg area conteudo mineral osseo cmo densidade_mineral_ossea dmo femur total r< 0 47 p<0 05 resultados sugerem descontado efeito massa_corporal gordura parece influenciar negativamente massa_ossea especialmente mulheres pos menopausa entanto havendo evidencia inadequacao massa_ossea pacientes estudados possivel efeito mecanico benefico massa_corporal sobre massa_ossea sido capaz sobrepor efeito prejudicial gordura sobre mesma,691
2,"sarcopenia, massa_muscular, fpm, sarc, obesidade_sarcopenica, dinapenia, qualidade_muscular, imm, esqueletica, forca_preensao_manual",pacientes_idosos hemodialise hd altamente suscetiveis desenvolvimento sarcopenia devido processo natural envelhecimento catabolismo induzido procedimento hd objetivo deste estudo primeiro avaliar prevalencia sarcopenia dinapenia atrofia muscular grupo pacientes_idosos hd segundo avaliar criterios aplicados diagnostico sarcopenia propostos sociedades internacionais capazes distinguir pacientes pior condicao clinica estado_nutricional qualidade_vida estudo multicentrico transversal incluiu 94 pacientes_idosos hd > 60 anos cinco centros dialise todos participantes submetidos avaliacao_antropometrica composicao_corporal forca_preensao_manual fpm laboratorial avaliacao condicao nutricional atraves avaliacao_subjetiva_global 7 pontos ags 7p adicionalmente participantes responderam questionario qualidade_vida diagnostico sarcopenia adotados criterios propostos sociedades internacionais englobam parametros indicativos baixa massa_muscular baixa funcao muscular massa_muscular adotouse indice massa_magra imm < percentil 20 genero faixa etaria populacao referencia avaliado partir massa_magra obtida somatorio dobras_cutaneas criterio baixa funcao muscular adotou fpm < percentil 10 genero faixa etaria braco utilizado populacao referencia pacientes classificados sarcopenicos baixo imm associado baixa fpm dinapenicos baixa fpm atrofia muscular baixo imm sarcopenia presente 13 8 pacientes enquanto dinapenia observada 37 2 atrofia muscular 35 1 sarcopenia capaz distinguir pacientes possuiam maior comprometimento estado_nutricional composicao_corporal criterio funcao muscular isoladamente combinacao massa_muscular identificou pacientes pior qualidade_vida conclusao prevalencia sarcopenia observada 13 8 grupo entretanto usar apenas criterios indicam reducao forca massa_muscular prevalencia aumentou 30 condicao sarcopenia distinguiu pacientes pior estado_nutricional qualidade_vida,389
2,"sarcopenia, massa_muscular, fpm, sarc, obesidade_sarcopenica, dinapenia, qualidade_muscular, imm, esqueletica, forca_preensao_manual",introducao pacientes cancer sofrem alteracoes metabolicas contribuem reducao integridade celular desidratacao intracelular aumento fluido extracelular angulo_fase af derivado analise impedancia_bioeletrica bia considerado bom indicador saude celular integridade membrana celular funcao celular proporcao liquidos compartimento extra intracelular pacientes cancer prejuizos estado_nutricional podem contribuir efetivamente desenvolvimento sintomas debilitantes fadiga tendo vista af bom parametro avaliacao integridade hidratacao intracelular objetivos desse estudo i verificar associacao af fadiga ii verificar associacao af fadiga apos ajuste acumulo liquido extracelular iii avaliar prevalencia fadiga metodologia estudo_transversal realizado 124 pacientes ambos_sexos tratamento cancer quimioterapia cirurgico coletados dados peso_corporal altura indice_massa_corporal imc forca_preensao_manual fpm performance status presenca caquexia adicionalmente composicao_corporal avaliada meio bia obter dados sobre nivel hidratacao extracelular af ponto corte utilizado classificar pacientes baixo af definido <4o identificar fadiga aplicado questionario functional assessment of cancer therapy fatigue fact f resultados 124 pacientes avaliados n=98 79 homens total 26 apresentaram fadiga prevalencia fadiga maior pacientes af <4o 65 63 analises regressao_logistica observamos pacientes af> 4 apresentaram menor risco fadiga or 0 92 ic95 0 86 0 99 p = 0 03 porem apos ajustes percentual perda_peso 6 meses idade sexo hidratacao extracelular perdeu associacao or 0 94 ic 95 0 85 1 04 p = 0 26 conclusoes aproximadamente 26 pacientes cancer apresentavam fadiga sendo prevalencia maior pacientes af <4 65 63 entanto encontrada associacao af fadiga visto pode sofrer influencia acumulo liquido extracelular comum nesses pacientes,3166
2,"sarcopenia, massa_muscular, fpm, sarc, obesidade_sarcopenica, dinapenia, qualidade_muscular, imm, esqueletica, forca_preensao_manual",sarcopenia consiste sindrome caracterizada reducao massa_muscular capacidade_funcional presente enfermidades cronicas inflamatorias cancer independente faixa etaria prevalencia reducao massa_muscular pacientes oncologicos elevada pode variar 20 70 diversos estudos demonstraram utilidade imagens tomografia computadorizada tc avaliacao massa qualidade_muscular pacientes cancer desta forma presente estudo objetivo avaliar massa qualidade_muscular atraves tc pacientes cancer colorretal primeiro artigo gerado partir desta tese objetivo explorar determinantes mioesteatose associacao componentes fragilidade pacientes cancer colorretal estudo apresentou principais achados gordura_corporal velocidade marcha determinantes significantes independentes mioesteatose mioesteatose associada fragilidade pacientes obesos segundo artigo desta tese objetivo avaliar massa_muscular pacientes cancer colorretal atraves tecnica tc regiao terceira vertebra lombar metodos alta aplicabilidade clinica sendo tc considerada metodo referencia ademais estabeleceu objetivos especificos avaliar 1 concordancia tecnica tc metodos substitutivos utilizados pratica clinica avaliacao massa_muscular area muscular braco corrigida circunferencia_panturrilha massa_muscular esqueletica obtida impedancia_bioeletrica exame fisico massa_muscular obtido partir avaliacao_subjetiva_global produzida paciente 2 associacao reducao massa_muscular avaliada diferentes metodos parametros clinicos estado_nutricional 3 identificar metodo substitutivo apresenta maior valor prognostico mortalidade diagnostico reducao massa_muscular principais achados mostram exame fisico metodo maior concordancia tc avaliar massa_muscular grupo reducao massa_muscular avaliada diferentes metodos apresentou maior prevalencia desnutricao menores valores indice_massa_corporal gordura_corporal angulo_fase modelo regressao cox ajustado idade sexo estadiamento mostrou exame fisico apresentou maior valor preditivo mortalidade metodos investigados ademais notou prevalencia reducao massa_muscular variou 9 6 54 3 depender metodo utilizado avaliar massa_muscular estudos sugerem importancia avaliar massa qualidade_muscular pacientes cancer considerando necessidade diagnostico sarcopenia prevencao alteracoes estado_nutricional possibilidade iniciar intervencoes terapeuticas precoces alem disso metodos acessiveis pratica clinica exame fisico apresentaram boa concordancia metodo ouro tc avaliacao massa_muscular pacientes cancer colorretal,2280
3,"mthfr, hipertensas, c677t, metilacao, citrulina, metabolitos, malato, metabolomica, homocisteina, adrb3",hipertensao_arterial_sistemica doenca multifatorial condicao complexa interferem diretamente perfil metabolomico metabolomica tecnica altamente reprodutivel permite analise amostras biologicas intactas necessidade preparacao extensiva reduzindo potencial variabilidade analitica proporcionando identificacao metabolitos desconhecidos tornando valioso perfil abrangente misturas metabolicas complexas alem ser considerada abordagem funcional atividades organismo vem sendo observado fibra_alimentar reduz pressao_arterial pa colesterol circulante apresenta associacao hipertensao sendo mecanismos quais fibras dieteticas reduzem niveis pa ainda elucidados momento logo ainda existem recomendacoes quantitativas fibras diretrizes nacionais internacionais quanto tratamento prevencao hipertensao diante exposto objetivo presente tese avaliar base metabolomica efeito intervencao fibras dieteticas mistas metabolitos hdl hdl_c soro valores pressoricos mulheres hipertensas normotensas excesso_peso trata estudo matriz intervencao duplo cego placebo controlado realizado 60 mulheres adultas faixa etaria 20 60 anos inicialmente amostra selecionada conveniencia aleatoriamente formados quatro grupos grupos 1 g1 hipertensas 3 g3 normotensas receberam doze gramas fibras dieteticas mistas grupos 2 g2 hipertensas 4 g4 normotensas placebo realizadas avaliacao_antropometrica analises_bioquimicas pre pos intervencao colesterol serico triglicerideos hdl_c ldl vldl glicemia_jejum pcr us assim analise perfil metabolomico meio tecnica ressonancia magnetica nuclear 1h rmn 1h relacao resultados primeiro artigo observou g3 diferencas significativas principais tipos metabolitos referentes aumento areas relativas tres picos metabolitos hdl 4 94 ppm 0 0086 hdl 1 28 ppm 0 0337 hdl 0 88 ppm 0 0224 metabolito glicose 4 90 ppm 0 0106 reducao pressao_arterial sistolica pas 0 0292 7 mmhg faixa referencia g4 ocorreu reducao pas 0 0118 4 mmhg metabolito colina 3 65 ppm 0 0266 poe causa validade desses resultados literatura quanto resultados segundo artigo g1 observou relacao aumento hdl_c total soro aumento areas relativas picos metabolitos hdl 0 84 ppm 0 88 ppm relacao negativa hdl_c total soro hdl 1 24 ppm quanto g3 relacoes positivas hdl_c total soro dois metabolitos hdl 0 88 ppm 1 24 ppm alem reducao pas pressao_arterial diastolica pad g1 reducao pas g3 g4 base resultados encontrados metabolitos hdl podem ser alvos prevencao fatores_risco_cardiovascular destaque aumento hdl_c total soro reducao colesterol_total reducao pressao_arterial amostra analisada neste estudo partir intervencao fibras dietetica mistas,4969
3,"mthfr, hipertensas, c677t, metilacao, citrulina, metabolitos, malato, metabolomica, homocisteina, adrb3",hipertensao_arterial_sistemica has considerada maior fator risco_cardiovascular atribuivel mortalidade fatores interferem prevalencia desse problema dieta porque vem sendo observado consumo fibras_alimentares reduz pressao_arterial sistemica embora ainda consenso dieta pode alterar dna expressao_genica logo objetivo deste estudo avaliar efeito complementacao fibras alimentar pressao_arterial metabolitos score risco_cardiovascular mulheres adultas polimorfismo c677t gene mthfr excesso_peso trata estudo_clinico intervencao duplo cego placebo controlado tema ainda pesquisado cuja amostra composta 60 mulheres 30 hipertensas 30 normotensas realizadas avaliacoes antropometricas estimativa risco_cardiovascular rcv analises_bioquimicas genotipagem polimorfismo c677t gene mthfr analises sobre concentracao metabolitos inicialmente amostra selecionada conveniencia aleatoriamente formados quatro grupos grupos 1 g1 hipertensas 3 g3 normotensas receberam saches doze gramas fibras dieteticas mistas grupos 2 g2 hipertensas 4 g4normotensas placebo relacao resultados primeiro artigo observou g1 genotipo ct tt reducoes valores pressao_arterial sistolica feita intervencao fibras 147 87 + 22 48 mmhg x 129 67 + 19 69 seguido genotipo cc 143 33 + 15 05 mmhg x 129 67 + 14 99 p = 0 0145 g1 genotipo ct tt apresentou reducao pressao_arterial sistolica 15 5 mmhg p = 0 0026 grupo cc g1 reducao 15 0 mmhg p = 0 0115 estudo mostrou efeito fibra sobre valores pressoricos aconteceu independentemente genotipos c677t pronunciado portadores alelo t quanto resultados segundo artigo relacao intervencao fibras dieteticas constataram alteracoes valores referentes reducao risco_cardiovascular grupo 1 grupo 3 portadoras genotipos cc genotipos ct tt referentes polimorfismo c677t gene mthfr embora diferencas sido significativas alem disso aumento significativo valores hdl_c grupo 1 classificacao genotipos resultados encontrados deram evidencias significativas polimorfismo c677t gene mthfr exerce influencia valores pas intervencao fibra dietetica mulheres hipertensas embora reducao rcv aumento hdl_c sido significativos base resultados encontrados observou comparar resultados genotipos grupos grupos utilizando diferentes testes estatisticos encontrou influencia polimorfismo apos intervencao fibras utilizar teste comparacao conover ocorreu influencia genotipo dependente grupo hipertensos suplementados fibras porem distribuir grupos genotipos ocorreu diferenca quanto score risco_cardiovascular valores ldl_c hdl_c embora observou reducao significativa desses valores,3014
3,"mthfr, hipertensas, c677t, metilacao, citrulina, metabolitos, malato, metabolomica, homocisteina, adrb3",l citrulina malato sido usado aumentar vascularizacao niveis efeitos reflexos sinalizacao metabolica oxidativa efeitos agu musculo_esqueletico composto diferentes tipos fibras musculares relatados objetivo deste trabalho compreender efeitos suplementa cao aguda l citrulina malato vs l citrulina metabolismo oxido nitrico regulacao genes angiogenicos musculos extensor longo dedos edl soleo ratos adultos quarenta oito ratos_wistar_machos 210 dias idade 390 + 29 g randomizados controle suplementado veiculo gavagem agua l citrulina 170 mg kg peso animal l citrulina malato 170 mg l citrulina 86 mg malato kg peso animal nitrito nitrato medidos plasma enquanto niveis nitrito nitrato compostos nitrosilados expressao_genes nos1 nos3 hif 1 vegf medidos edl soleo todos parametros avaliados 90 minutos 270 minutos apos ingestao plasma 90 min l citrulina l citrulina malato aumentaram niveis plasmati cos nitrito p = 0 0214 musculo metabolitos alterados edl 90 min l citrulina l citrulina malato aumentaram metabolitos l citrulina malato superior todos outros grupos nitrito p = 0 0146 nitrato p = 0 0004 270 min l citrulina l citrulina malato aumentaram niveis compostos nitrosilados p < 0 0001 expressao gene nos1 p = 0 0001 soleo 90 min apenas aumentou niveis hif 1 p < 0 0001 270 min apenas l citrulina malato nos3 p < 0 05 tanto l citrulina l citru lina malato aumentaram hif1 p < 0 0001 vegf afetado nenhuma suplementacao nenhum momento adicao malato l citrulina potencializou aumento metabolitos expressao nos1 musculo edl soleo ambos suplementos aumentam expressao gene hif 1 porem l citrulina malato aumenta hif 1 rapidamente l citrulina isolada l citrulina malato aumenta expressao gene nos3,5246
4,"criancas, crianca, infantil, alimentacao_complementar, infancia, escolaridade_materna, escolares, indice_massa_corporal_idade, estatura, meses",estudos apontado correlacao intra familiar positiva quanto estado_nutricional maes filhos compartilharem tanto informacoes geneticas quanto condicoes_socioeconomicas ambientais assim objetivou avaliar associacao estado_nutricional criancas maes moradoras assentamentos subnormais maceio al caracterizando populacao estudo segundo variaveis demograficas socioeconomicas trata estudo_transversal envolvendo amostra_probabilistica 1137 maes 1365 criancas 0 10 anos dados_socioeconomicos demograficos antropometricos coletados atraves inquerito domiciliar avaliacao_nutricional maes utilizado indice_massa_corporal imc criancas indices altura idade i imc idade imc i escores z idade media maes 38 5 anos dp=14 27 criancas 4 85 anos dp=2 86 analise variaveis_socioeconomicas domicilio constatou populacao baixa_renda contudo 46 8 maes 18 0 criancas apresentaram excesso_peso encontrou deficit estatural maes criancas 20 8 7 respectivamente associacao excesso_peso materno estado_nutricional criancas menores 10 anos p>0 05 portanto apesar compartilharem contexto socioeconomico ambiental relacao estado_nutricional maes criancas deficit estatural excesso_peso significativos prevalecem tanto maes criancas descritores crianca maes estado_nutricional fatores_socioeconomicos populacao baixa_renda,29
