topic,FREX,DS_RESUMO,document,gamma
1,"sarcopenia, massa_muscular, sarc, fpm, dinapenia, obesidade_sarcopenica, forca_muscular, qualidade_muscular, esqueletica, imm",introducao devido avancos tratamento expectativa vida pacientes fibrocisticos aumentado algumas complicacoes diabetes melittus doenca hepatica osteoporose recentemente dislipidemia sendo observados objetivo descrever perfil_lipidico glicidico pacientes pediatricos fibrose cistica metodo criancas_adolescentes atendidos centro referencia realizou avaliacao dados_demograficos sexo idade idade diagnostico clinicos escore shwachman presenca colonizacao pulmonar consumo suplementares alimentares estado_nutricional dosagem bioquimica glicose insulina hemoglobina_glicada ct fracoes tgo tgp pcr resultados pacientes mediana intervalos interquartis idade 11 anos 5 15 47 sexo_masculino 51 6 pre puberes estado_nutricional estatura adequados 85 5 87 7 respectivamente apesar escore shwachman apresentar excelente bom 66 2 pacientes colonizacao bacteriana 88 7 casos insuficiencia pancreatica 71 quanto uso suplementos alimentares 61 3 utilizaram dieta enteral apenas tres destes gastrostomia detectou dislipidemia 32 20 62 sendo maioria pacientes apresentava alteracao hdlc hipertrigliceridemia valores inadequados componentes perfil_lipidico identificados 64 5 40 62 quanto perfil glicidico observaram apenas tres pacientes alteracao homa_ir hemoglobina_glicada acima 7 5 obteve diferenca significante segundo estadiamento puberal fracao hdlc glicemia_jejum insulina basal valores homa_ir conclusao conclui necessidade avaliar precocemente perfil_lipidico glicidico dessa populacao fim realizar tratamento precoce favorecendo futura qualidade_vida palavras chave fibrose cistica dislipidemias crianca adolescente 34,990,0.9827567421424434
1,"sarcopenia, massa_muscular, sarc, fpm, dinapenia, obesidade_sarcopenica, forca_muscular, qualidade_muscular, esqueletica, imm",indicador instrumento capaz monitorar producao forma uso possivel acompanhar processo identificar falhas partir aplicacao possibilidade elaboracao pontos melhorias etapas producao objetivou analisar implementacao indice seguranca_alimentos isa unidade producao_alimentos hotelaria atraves mensuracao fatores relacionados garantia fornecimento alimentos seguros projeto desenvolvido instalacoes complexo turistico cidade aquiraz ce dentre fatores mensurados analises microbiologicas alimentos swab equipamentos utensilios maos registros procedimentos realizados recebimento armazenamento producao distribuicao reclamacoes clientes suspeitas confirmacao doencas transmitidas alimentos dta´s auditorias validades rastreabilidade processos populacao estudada composta duas uans 4 hoteis complexo turistico dados coletados ano 2022 analise utilizados excel R spss R apos avaliacao criticidade cada requisito processos mensurados assim definido indicador seguranca_alimentos unidades producao avaliacao categoria demonstra desvios apontados falhas passiveis melhorias todavia comprometem seguranca alimentacao ofertada isa implementado abrangente possibilidades adaptacao depender tipo uan possibilita mensuracao fatores relacionados garantia fornecimento alimentos seguros colaborando melhoria trabalho profissionais gestores sistema gestao seguranca_alimentos,5253,0.9263932866168735
1,"sarcopenia, massa_muscular, sarc, fpm, dinapenia, obesidade_sarcopenica, forca_muscular, qualidade_muscular, esqueletica, imm",introducao adolescencia periodo crucial formacao habitos_alimentares_saudaveis entanto adolescentes apresentam baixa_ingestao alimentos_in_natura minimamente processados aimp elevado consumo_alimentos ultraprocessados aup alem comportamentos_alimentares caracteristicos dessa fase vida ambiente_alimentar escolar caracteriza importante espaco promocao escolhas alimentares_saudaveis disponibilidade venda_alimentos tanto interior entorno escolar influenciam consumo_alimentar dessa populacao ainda escassez estudos adolescentes brasil mostram influencia comportamentos_alimentares individuais fatores ambiente_alimentar escolar consumo aimp objetivo analisar consumo alimentos_in_natura minimamente processados aimp adolescentes escolares distrito federal associacao comportamentos_alimentares habitos compra consumo ambiente_alimentar escolar metodologia estudo_transversal realizado 499 adolescentes nono ano ensino fundamental sendo nove escolas_publicas nove privadas utilizado questionario autoaplicavel perguntas sobre aspectos demograficos socioeconomicos consumo aimp dia anterior consumo alimentacao_escolar alunos escola publica compra aimp cantina alunos escola privada compra aimp entorno escolar ambos tipos escola comportamentos_alimentares individuais numero refeicoes comer presenca telas alimentacao companhia realizada analise_componentes_principais identificar padroes comportamento_alimentar analise_fatorial apropriada cargas fatoriais todas variaveis satisfatorias carga fatorial >|0 4| modelos regressao_poisson variancia_robusta realizados avaliar associacao padrao comportamento_alimentar compra_alimentos ambiente_escolar consumo 5 grupos aimp resultados cerca terco adolescentes consumiram 5 grupos aimp dia anterior 35 6 identificou padrao denominado padrao comportamento_alimentar saudavel quanto maior escore nesta variavel saudavel comportamento_alimentar prevalencia consumo aimp maior adolescentes escola publica padrao comportamento saudavel rp 1 48 ic 95 1 01 2 21 assim consumo alimentacao_escolar 3 vezes semana rp 3 42 ic 95 1 41 8 28 compram aimp entorno tanto publicas rp 1 39 ic 95 1 03 1 86 privadas rp 1 77 ic 95 1 17 2 67 achados mostram associacao fatores ambiente_alimentar escolar comportamentos_alimentares consumo aimp adolescentes reforca importancia politicas_publicas promovam alimentacao_saudavel adolescencia regulamentacao venda_alimentos ambiente_escolar inclusive entorno,4816,0.9240485668825631
1,"sarcopenia, massa_muscular, sarc, fpm, dinapenia, obesidade_sarcopenica, forca_muscular, qualidade_muscular, esqueletica, imm",objetivo deste estudo analisar falas profissionais_saude indigena polo base dourados mato grosso sul referentes violacao direito agua alimentos trata pesquisa qualitativa realizada 117 profissionais polo base dourados atendem etnias kaiowa guarani terena meio questionario_semiestruturado analisadas duas questoes desse questionario presente estudo qual situacao sofrimento tristeza marcou trabalho  qual situacao satisfacao felicidade marcou trabalho  avaliacao respostas utilizado metodo analise conteudo apos atenta leitura falas definidas categorias partir aproximacao respostas final escolhidas tres categorias 1 violencias saude indigena 2 saude violacao direitos humanos 3 relacao equipe trabalho optamos analisar respostas categoria 2 referente escassez agua alimentos mostrou grande preocupacao profissionais_saude principalmente prestam assistencia aldeia bororo localizada dentro reserva indigena dourados rid resultados mostraram questoes relacionadas agua tanto tristeza quanto felicidade relatadas maioria profissionais responsaveis saneamento dificuldade acesso_alimentos qualidade ocorre apenas usuarios sistema saude alguns profissionais entrevistados enfase agentes indigenas saude apenas profissional indigena relatou falta alimentos agua tristeza partir relatos pudemos perceber direito humano agua alimentos previsto constituicao federal 1988 sido assegurado percepcao profissionais populacao indigena apresenta indicadores saude inseguranca_alimentar piores populacao indigena sendo assim cabe cobrar estado brasileiro exerca papel agente responsavel garantia direitos populacoes indigenas aumentar visibilidade debate direito terra consequentemente saude,3927,0.9129965851322719
1,"sarcopenia, massa_muscular, sarc, fpm, dinapenia, obesidade_sarcopenica, forca_muscular, qualidade_muscular, esqueletica, imm",pacientes_idosos hemodialise hd altamente suscetiveis desenvolvimento sarcopenia devido processo natural envelhecimento catabolismo induzido procedimento hd objetivo deste estudo primeiro avaliar prevalencia sarcopenia dinapenia atrofia muscular grupo pacientes_idosos hd segundo avaliar criterios aplicados diagnostico sarcopenia propostos sociedades internacionais capazes distinguir pacientes pior condicao clinica estado_nutricional qualidade_vida estudo multicentrico transversal incluiu 94 pacientes_idosos hd > 60 anos cinco centros dialise todos participantes submetidos avaliacao_antropometrica composicao_corporal forca_preensao_manual fpm laboratorial avaliacao condicao nutricional atraves avaliacao_subjetiva_global 7 pontos ags 7p adicionalmente participantes responderam questionario qualidade_vida diagnostico sarcopenia adotados criterios propostos sociedades internacionais englobam parametros indicativos baixa massa_muscular baixa funcao muscular massa_muscular adotouse indice massa_magra imm < percentil 20 genero faixa etaria populacao referencia avaliado partir massa_magra obtida somatorio dobras_cutaneas criterio baixa funcao muscular adotou fpm < percentil 10 genero faixa etaria braco utilizado populacao referencia pacientes classificados sarcopenicos baixo imm associado baixa fpm dinapenicos baixa fpm atrofia muscular baixo imm sarcopenia presente 13 8 pacientes enquanto dinapenia observada 37 2 atrofia muscular 35 1 sarcopenia capaz distinguir pacientes possuiam maior comprometimento estado_nutricional composicao_corporal criterio funcao muscular isoladamente combinacao massa_muscular identificou pacientes pior qualidade_vida conclusao prevalencia sarcopenia observada 13 8 grupo entretanto usar apenas criterios indicam reducao forca massa_muscular prevalencia aumentou 30 condicao sarcopenia distinguiu pacientes pior estado_nutricional qualidade_vida,389,0.9098146981006754
2,"mthfr, metilacao, hipertensas, c677t, citrulina, vegf, metabolitos, dna, adrb3, folato",busca tratamento alternativos controle prevencao pressao_arterial crescente exemplo consumo suco beterraba potente vasodilatador promovendo reducao pressao_arterial horas apos consumo alem exercicio_fisico apenas sessao exercicio promove reducoes pressao arteria fenomeno conhecido hipotensao pos exercicio hpe apesar tratamento maioria casos ser eficaz pequena parcela dessa populacao apresenta resposta tratamentos apresentando quadro conhecido hipertensao resistente fatores geneticos podem estar ligados determinantes nesse sentido objetivo desse estudo avaliar polimorfismos geneticos explicam responsividade hpe verificar beterraba melhora responsividade estudo randomizado controlado delineamento cross over contou 21 hipertensos voluntarios participaram tres sessoes duas sessoes experimentais ingestao 140 ml suco beterraba rica 800 mg nitrato 140ml bebida controle pobre nitrato alem realizacao sessao exercicio_fisico aerobico meio teste esteira sessao controle realizacao exercicio_fisico aerobico ingesta bebida pressao_arterial aferida antes imediatamente apos exercicio cada 10 minutos durante periodo recuperacao pos exercicio pressao_arterial ambulatorial aferida meio monitorizacao ambulatorial pressao_arterial realizada analise nitrito plasmatico malondiadeido capacidade_antioxidante_total analise bioquimica coletado mucosa bucal analise polimorfismos genes eca enos analise estatistica dados feita teste anova two way medidas repetidas jamovi versao 1 6 1 observado aumento significativo nitrito plasmatico 21 duas horas apos ingestao suco beterraba p<0 021 novo aumento 24 16 apos realizacao exercicio aerobio relacao valor basal p<0 014 novo aumento apos exercicio 16 3 p=0 048 observado sessao bebida controle observado hpe sistolico interacao tempo 20 50 minutos diastolica 10 30 50 minutos pos exercicio protocolo suco beterraba modo observado reducao significativa pas 20 50 minutos sessao suco beterraba relacao sessao bebida controle portanto suco beterraba demonstrou possui possivel efeito potencializador hpe primeira hora apos exercicio,4967,0.9908284604149873
2,"mthfr, metilacao, hipertensas, c677t, citrulina, vegf, metabolitos, dna, adrb3, folato",diabetes mellitus doenca causada deficiencia liberacao uso hormonio insulina levando estado hiperglicemia retinopatia diabetica complicacao microvascular diabetes mellitus causa comum cegueira pacientes diabeticos pacientes diabeticos apresentam maiores riscos eventos cardiovasculares estrategias utilizadas reducao sintomas envolvendo retinopatia uteis diminuicao eventos cardiovasculares pacientes diabeticos doencas_cardiovasculares ainda maiores responsaveis obitos mundo inteiro enzima metilotetrahidrofolato redutase mthfr responsavel liberacao forma ativa folato organismo pode ter eficiencia afetada fatores dieteticos geneticos polimorfismo rs1801133 1801131 deficiencia vitamina_b12 cofator metabolismo dessa enzima reducao atividade mthfr pode levar elevacao homocisteina plasmatica vez relacionada resistencia_insulina algumas complicacoes cronicas diabetes retinopatia estudos vem demonstrando hiperhomocisteinemia capaz aumentar risco doencas_cardiovasculares causar aumento diametro atrio esquerdo objetivo desse estudo verificar relacao polimorfismos rs1801133 1801131 parametros estruturais funcionais coracao pacientes retinopatia diabetica objetivo analisar rs1801131 rs1801133 pacientes portadores retinopatia diabetica verificar parametros_bioquimicos nutricionais antropometricos estilo_vida participantes envolvidos trata estudo_transversal base epidemiologica envolvendo 65 pacientes diagnosticados retinopatia diabetica idade media 62 46 + 1 044 sendo 42 participantes retinopatia diabetica proliferativa 23 retinopatia diabetica proliferativa participantes categorizados acordo variaveis bioquimicas cardiologicas antropometricas geneticas estilo_vida consumo vitamina b9 b12 realizado teste exato fischer regressao_poisson avaliar relacao variaveis observou aplicar teste fischer associacao significativa aumento diametro atrio esquerdo polimorfismo rs1801133 nenhuma associacao significativa dilatacao atrio esquerdo variaveis bioquimicas antropometricas consumo vitamina_b12 folato pratica_atividade_fisica todos participantes estudo consumo insuficiente menos micronutrientes analisados nesse estudo modelo regressao evidenciou aumento atrio esquerdo associado alelo t rs1801133 razao prevalencia 0 912 modelo regressao ainda evidenciou associacao aumento diametro atrio esquerdo fracao ejecao volume sistolico final frequencia_cardiaca principal resultado desse estudo sugere associacao alelo t rs1801133 dilatacao atrio esquerdo alem associacao polimorfismo modelo regressao observou associacao diametro atrio esquerdo fracao ejecao volume sistolico final frequencia_cardiaca,3690,0.9897096094559976
2,"mthfr, metilacao, hipertensas, c677t, citrulina, vegf, metabolitos, dna, adrb3, folato",hipertensao_arterial caracterizada niveis pressoricos elevados sustentados associados alteracoes funcionais estruturais orgaos alvo bem estabelecido aumento estresse_oxidativo hiperatividade simpatica disfuncao endotelial contribuem manutencao pressao_arterial elevada estudos previos demonstrado extrato especies hymenaea apresenta atividade_antioxidante anti inflamatoria entanto ainda elucidado efeito hymenaea pressao_arterial possiveis fatores envolvidos nesse contexto objetivo presente estudo avaliar efeito extrato hidroalcoolico casca caule hymenaea rubriflora ducke hr hac pressao_arterial modulacao autonomica estresse_oxidativo reatividade vascular ratos espontaneamente hipertensos shr estudo desenvolvido administracao dose unica intravenosa protocolo agudo tratamento diario via_oral quatros semanas protocolo cronico previamente intervencoes hr hac caraterizado quanto fenolicos totais perfil fenolico capacidade_antioxidante protocolo agudo ratos machos shr normotensos wistar kyoto wky receberam doses unicas hr hac 2 5 5 15 30 60 mg kg i v presenca ausencia atropina propranolol mensuradas pressao_arterial media pam frequencia_cardiaca fc ensaios in vitro hr hac 0 1 729 g ml aplicado aneis aorta endotelio funcional pre incubados tea 4 ap glib protocolo cronico shr wky tratados hr hac 100 200 mg kg veiculo via_oral vez dia final tratamento mensurados pressao_arterial pa modulacao autonomica estresse_oxidativo reatividade vascular agentes relaxantes contrateis aorta trabalho aprovado comissao etica uso animais universidade federal paraiba n° 117 2016 hr hac apresentou alta concentracao fenolicos totais 14 compostos_fenolicos identificados capacidade_antioxidante resultado administracao aguda shr hr hac 2 5 5 15 30 60 mg kg induziu hipotensao 7 9+ 0 7 8 9+ 1 5 9 4+ 1 4 13 7+ 1 7 28 5+ 4 3 respectivamente bradicardia wky reducao pam similar shr modificacoes fc atropina atenuou significativamente reducao pam fc shr doses cumulativas hr hac induziram relaxamento endotelio independente aorta shr emax = 88 8 + 3 8 reduzido tea emax = 36 6 + 4 5 p < 0 001 4 ap emax = 53 6 + 8 9 p < 0 004 wky relaxamento emax = 64 8 + 3 5 dependente endotelio tratamento cronico dose 200 mg kg hr hac resultou menor pa media 163 9 + 2 4 mmhg vs 184 5 + 1 2 mmhg p < 0 0001 sistolica 190 7 + 4 3 mmhg vs 232 1+ 2 2 mmhg p < 0 0001 shr tratados comparacao shr controle dose ainda promoveu atenuacao resposta contratil fenilefrina melhoria potencia relaxante acetilcolina reducao peroxidacao lipidica aumento capacidade_antioxidante_total menor balanco autonomico shr tratados relacao shr controle dose 100 mg kg alterou pa nenhum grupos animais atenuou reposta contratil fenilefrina melhorou potencia relaxante acetilcolina estresse_oxidativo shr tratados conclusao estudo mostra hr hac promove reducao pa tanto maneira aguda cronicamente shr alem disso induz potente vasodilatacao melhorar disfuncao endotelial estresse_oxidativo desbalanco simpatovagal importantes mecanismos patologicos envolvidos hipertensao_arterial,2382,0.9891652095492429
2,"mthfr, metilacao, hipertensas, c677t, citrulina, vegf, metabolitos, dna, adrb3, folato",atividade bioativade polifenois quercetina resveratrol res sido reconhecida estudada ultimos anos aplicacao diversos segmentos industria uso combinado desses polifenois probioticos parece ser estrategia vantajosa relacao potenciais efeitos beneficos sobre saude humana diante disso estudo desenvolveu novas formulacoes nutraceuticas compostas tres diferentes cepas potencialmente probioticas l fermentum139 l fermentum236 l fermentum296 fruto oligossacarideo fos res bem avaliou estabilidade durante armazenamento contagens celulas viaveis cepas l fermentum conteudo res durante armazenamento temperatura ambiente 25 ºc refrigerada 4 °c expostos digestao in vitroem diferentes formulacoes nutraceuticas avaliados potencial bioacessibilidade res atividade_antioxidante aspectos ultraestruturais formulacoes nutraceuticas analisados cepas l fermentumapresentaram contagens acima 9 log ufc g conteudo res acima 200 g mg formulacoesimediatamenteapos liofilizacao l fermentum296 sensivel eres durante liofilizacaodevidoas maiores reducoes contagensde celulas viaveis indicando possivel efeito crioprotetor res cepas lactobacilluspode ser cepa dependente resultados deste estudo mostraram 90 dias dearmazenamento cepas l fermentume concentracoes res apresentaram maiores reducoes formulacoes armazenadas temperatura ambiente especialmente formulacoes + res l fermentum263 destacou maiores contagens apos 90 dias armazenamento refrigerado >7 log ufc g durante exposicao digestao gastrointestinal in vitro formulacoes oures protegerammelhor cepas del fermentumquando comparadaas formulacoes comapenasl fermentum+ fos observado parte conteudo >29 res >50 todas formulacoes bioacessiveleexibiram propriedades antioxidantes analise ultraestrutural formulacoes l fermentum263 + fos + res mostrou variacoes microestruturase indicou celulas bacterianas incorporadas matrizes liofilizadas resultadosdesse estudo indicam queo uso combinado l fermentum res apresenta umaestrategia valiosa obter novas formulacoes nutraceuticas potencial capacidade promover efeitos beneficos asaude consumidores protocolo desenvolvimento formulacoes nutraceuticas apresentado neste estudo submetido pedido dedeposito patente instituto nacional propriedade intelectual brasil sob numero protocolo br102019022753 2,3012,0.9878309198624963
2,"mthfr, metilacao, hipertensas, c677t, citrulina, vegf, metabolitos, dna, adrb3, folato",estudos demonstram grande variabilidade respostas intervencoes visando emagrecimento principalmente meio treinamento_fisico nesse sentido fatores bioquimicos aspectos alimentares podem ser variaveis explicadoras objetivo desse estudo determinar influencia consumo_alimentar macro micronutrientes variaveis metabolicas estresse_oxidativo perfil_lipidico glicemico eficacia programa emagrecimento exercicio induzido individuos excesso_peso 74 individuos sobrepeso obesidade randomizados 1 grupo treinado n= 58 41 mulheres fizeram treinamento aerobico duracao 12 semanas 2 controle n=16 13 mulheres fizeram series alongamentos 1 vez semana avaliacoes composicao_corporal dxa capacidade aerobica limiar anaerobico ergoespirometria nutricionais recordatorio 24h glicemia_jejum triglicerideos colesterol fracoes balanco redox malondialdeido  mda capacidade_antioxidante_total caox avaliados antes intervencao teste t independente anova two way mista medidas repetidas qui_quadrado regressao_logistica binaria usados valor p menor 0 05 considerado significativo ocorreusignificativa reducao grupo treinado massa_corporal 85 00+ 11 27 kg 84 08+ 11 50 kg massa_gorda 36 76+ 6 06 kg 35 40+ 6 83 kg colesterol_total 196 55+ 50 27 178 37+ 42 73 ldl 127 29 + 37 75 115 58+ 39 63 tg 137 18+ 61 80 121 91+ 56 92 aumento mda 2 29+ 0 77 2 67+ 0 73 variaveis metabolicas caox momento pre intervencao mostrou influenciadora frequencia emagrecimento 31 participantes iniciaram programa treinamento caox abaixo 25 grande maioria 90 3 responsiva emagrecimento treinamento enquanto dentre 27 iniciaram caox acima igual 25 apenas 66 7 lograram emagrecimento alem disso reducao glicemia mostrou influenciadora resposta emagrecimento porem sentido oposto esperado acordo plausibilidade biologica previa 30 participantes reduziram glicemia_jejum grande maioria 93 3 responsiva emagrecimento programa treinamento outro lado dentre 28 reduziram glicemia apenas 64 3 lograram emagrecimento idade mostrou fator influenciador concluiu glicemia pre treino maiores aumentos caox mostraram potenciais explicadores responsividade emagrecimento induzida programa treinamento,3687,0.9874317053240209
